family,n,inst,m,p,ceiling,regret_norm,regret_raw,argmax_disp,fidelity_deficit,e_star,e_hat,margin
ER(0.5),16,1,53,1,0.817731,0.049532,0.037996,0.138081,0.822444,-0.025293,-0.112322,0.037497
ER(0.5),16,1,53,3,0.900426,0.09399,0.080757,0.257539,0.974358,-0.021607,-0.169791,0.054194
ER(0.5),16,2,67,1,0.859261,0.032854,0.03218,0.097638,0.701929,-0.020656,-0.070123,0.016613
ER(0.5),16,2,67,3,0.931413,0.056507,0.087688,0.276642,0.9253,-0.009611,-0.102072,0.035954
ER(0.5),16,3,61,1,0.780172,0.032367,0.030906,0.105721,0.758888,-0.024246,-0.086964,0.03035
ER(0.5),16,3,61,3,0.870572,0.069917,0.086812,0.267261,0.958923,-0.027593,-0.144072,0.046562
ER(0.5),16,4,61,1,0.811671,0.043636,0.028934,0.138081,0.805348,-0.017483,-0.09064,0.029521
ER(0.5),16,4,61,3,0.887978,0.079793,0.07237,0.276642,0.971078,-0.012268,-0.145534,0.053472
ER(0.5),16,5,63,1,0.817602,0.042655,0.035626,0.138081,0.789149,-0.019663,-0.096676,0.034358
ER(0.5),16,5,63,3,0.902956,0.047529,0.080052,0.225877,0.868949,-0.023059,-0.101678,0.03109
ER(0.25),16,1,26,1,0.785972,0.08725,0.035742,0.22934,0.921297,-0.034554,-0.170357,0.048553
ER(0.25),16,1,26,3,0.890945,0.07021,0.085532,0.364216,0.873038,-0.031637,-0.154948,0.053102
ER(0.25),16,2,25,1,0.784573,0.061927,0.038588,0.154911,0.832403,-0.034699,-0.137369,0.040743
ER(0.25),16,2,25,3,0.883211,0.052468,0.088131,0.294508,0.900672,-0.036506,-0.129458,0.040483
ER(0.25),16,3,32,1,0.771978,0.063974,0.04038,0.172005,0.889962,-0.030868,-0.132908,0.038066
ER(0.25),16,3,32,3,0.863865,0.050104,0.089816,0.236902,0.900954,-0.037316,-0.129869,0.042449
ER(0.25),16,4,26,1,0.792388,0.111754,0.046657,0.212217,0.938239,-0.041502,-0.210887,0.057631
ER(0.25),16,4,26,3,0.901379,0.050821,0.100977,0.257539,0.845995,-0.023065,-0.128601,0.054715
ER(0.25),16,5,33,1,0.764371,0.060914,0.038849,0.172005,0.883649,-0.03376,-0.142579,0.047904
ER(0.25),16,5,33,3,0.859143,0.054892,0.091084,0.247436,0.913027,-0.028162,-0.136971,0.053917
BA(k=2),16,1,28,1,0.796061,0.043026,0.042996,0.167159,0.857201,-0.041644,-0.12608,0.04141
BA(k=2),16,1,28,3,0.876409,0.055471,0.080706,0.236902,0.819859,-0.033283,-0.120719,0.031965
BA(k=2),16,2,28,1,0.775522,0.072827,0.037202,0.212217,0.93216,-0.043213,-0.176679,0.060639
BA(k=2),16,2,28,3,0.879293,0.071366,0.084317,0.294508,0.89272,-0.029137,-0.15745,0.056947
BA(k=2),16,3,28,1,0.750382,0.104532,0.039799,0.269536,0.978374,-0.042104,-0.2282,0.081563
BA(k=2),16,3,28,3,0.852786,0.079605,0.084136,0.48969,0.828985,-0.043053,-0.147995,0.025337
BA(k=2),16,4,28,1,0.79798,0.048951,0.04403,0.172005,0.868209,-0.044991,-0.141017,0.047076
BA(k=2),16,4,28,3,0.884133,0.063369,0.085995,0.247436,0.847871,-0.029685,-0.136477,0.043423
BA(k=2),16,5,28,1,0.742616,0.06694,0.036419,0.206725,0.935756,-0.038023,-0.154552,0.049588
BA(k=2),16,5,28,3,0.842516,0.044451,0.105144,0.267261,0.827977,-0.035714,-0.112294,0.032129
BA(k=4),16,1,48,1,0.826764,0.053147,0.038328,0.154911,0.856407,-0.029236,-0.117342,0.034959
BA(k=4),16,1,48,3,0.907506,0.059135,0.080313,0.247436,0.903735,-0.018983,-0.122288,0.044171
BA(k=4),16,2,48,1,0.828605,0.050619,0.040165,0.154911,0.858937,-0.030282,-0.119384,0.038484
BA(k=4),16,2,48,3,0.91479,0.065873,0.086482,0.303046,0.91097,-0.020872,-0.132097,0.045352
BA(k=4),16,3,48,1,0.78456,0.062526,0.038888,0.178569,0.904048,-0.030605,-0.135854,0.042723
BA(k=4),16,3,48,3,0.875033,0.095914,0.089661,0.276642,0.973647,-0.025276,-0.194102,0.072912
BA(k=4),16,4,48,1,0.808539,0.07168,0.038662,0.195276,0.923747,-0.029342,-0.146248,0.045225
BA(k=4),16,4,48,3,0.89416,0.086766,0.087264,0.303046,0.966021,-0.022577,-0.167817,0.058475
BA(k=4),16,5,48,1,0.852363,0.070802,0.037116,0.195276,0.913338,-0.029759,-0.138204,0.037643
BA(k=4),16,5,48,3,0.92934,0.030489,0.077389,0.188982,0.791698,-0.015125,-0.074944,0.02933
WS(k=4;b=0.1),16,1,32,1,0.828136,0.033809,0.030813,0.110286,0.655339,-0.022694,-0.075425,0.018922
WS(k=4;b=0.1),16,1,32,3,0.906093,0.018877,0.078864,0.159719,0.627076,-0.012358,-0.052932,0.021697
WS(k=4;b=0.1),16,2,32,1,0.809708,0.087354,0.046294,0.189293,0.915982,-0.030632,-0.159046,0.041061
WS(k=4;b=0.1),16,2,32,3,0.908073,0.050423,0.099832,0.257539,0.868886,-0.018217,-0.113547,0.044907
WS(k=4;b=0.1),16,3,32,1,0.825346,0.027468,0.029004,0.09245,0.592954,-0.021344,-0.06358,0.014768
WS(k=4;b=0.1),16,3,32,3,0.892942,0.009827,0.068807,0.101015,0.493076,-0.007897,-0.032623,0.014898
WS(k=4;b=0.1),16,4,32,1,0.806458,0.059742,0.036614,0.149512,0.826735,-0.027537,-0.117366,0.030087
WS(k=4;b=0.1),16,4,32,3,0.88983,0.029461,0.085566,0.174964,0.75556,-0.022391,-0.075187,0.023336
WS(k=4;b=0.1),16,5,32,1,0.830957,0.049385,0.032487,0.131995,0.735465,-0.022113,-0.092081,0.020582
WS(k=4;b=0.1),16,5,32,3,0.898942,0.018605,0.069929,0.159719,0.602151,-0.010621,-0.044739,0.015514
WS(k=4;b=0.5),16,1,32,1,0.776844,0.056835,0.0434,0.154911,0.855308,-0.032586,-0.133939,0.044519
WS(k=4;b=0.5),16,1,32,3,0.87872,0.064712,0.09968,0.188982,0.913957,-0.038398,-0.14518,0.04207
WS(k=4;b=0.5),16,2,32,1,0.807499,0.07251,0.04486,0.172005,0.878656,-0.030125,-0.14182,0.039185
